1	Алина	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#656.24#656.558
2	мне	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#656.558#656.876
3	позвонила	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#656.876#657.194
4	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#657.194#657.512
5	эээ	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#657.512#657.83
6	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#657.83#658.148
7	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#658.148#658.47
8	Да	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#659.725#659.991
9	а	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#659.991#660.257
10	я	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#660.257#660.523
11	по-русскому	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#660.523#660.789
12	говорю	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#660.789#661.055
13	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#661.055#661.321
14	она...	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#661.321#661.587
15	они	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#661.587#661.853
16	не	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#661.853#662.119
17	знали	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#662.119#662.385
18	что	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#662.385#662.651
19	я	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#662.651#662.917
20	по-русскому	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#662.917#663.183
21	умею	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#663.183#663.449
22	говорить	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#663.449#663.715
23	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#663.715#663.981
24	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#663.981#664.255
25	Да	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#666.405#666.576
26	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#666.576#666.747
27	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#666.747#666.92
28	Да	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#667.445#667.553
29	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#667.553#667.661
30	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#667.661#667.77
31	Да	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#668.525#668.691
32	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#668.691#668.857
33	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#668.857#669.025
34	Нет	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#671.865#672.098
35	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#672.098#672.331
36	я	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#672.331#672.564
37	реально	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#672.564#672.797
38	я	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#672.797#673.03
39	/	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#673.03#673.263
40	с	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#673.263#673.496
41	этого	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#673.496#673.729
42	момента	_	_	_	_	_	_	_	words@tt1991m#@tt1991m#673.729#673.962
